profile	category	fixture_count	parser_accepted	parser_rejected	recovery	prerequisite	coverage_note
doris-4.x	negative	3	0	3	0	none	expected rejection (incl. dialect gates)
doris-4.x	positive	2	2	0	0	none	self-contained syntax, valid=true, no engine prerequisite
flink-1.20.5	negative	1	0	1	0	none	expected rejection (incl. dialect gates)
flink-2.1.3	positive	1	1	0	0	none	self-contained syntax, valid=true, no engine prerequisite
flink-2.3.0	catalog-prerequisite	3	3	0	0	catalog	syntax accepted; catalog/registry prerequisite; engine-supported=0
flink-2.3.0	known-limitation	3	3	0	0	structural	structural acceptance; known subset gap; engine-supported=0
flink-2.3.0	negative	20	0	20	0	none	expected rejection (incl. dialect gates)
flink-2.3.0	planner-prerequisite	13	13	0	0	planner	syntax accepted; planner/engine prerequisite; engine-supported=0
flink-2.3.0	positive	46	46	0	0	none	self-contained syntax, valid=true, no engine prerequisite
flink-2.3.0	recovery	17	0	0	17	none	bounded editor recovery + lossless replay
flink-4x	negative	1	0	1	0	none	expected rejection (incl. dialect gates)
