fixture_id	profile	exact_release	calcite_version	parser_config	source_archive_url	sha512	git_tag	git_commit	grammar_path	line_range
flink-grammar.select-cte-join-agg	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr/WithList)	3395-3406
flink-grammar.select-incomplete	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr)	3395-3406
flink-grammar.set-union-all	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr/CompoundQuery)	3395-3406
flink-grammar.set-intersect	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr/CompoundQuery)	3395-3406
flink-grammar.set-except	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr/CompoundQuery)	3395-3406
flink-grammar.set-intersect-all	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr/CompoundQuery)	3395-3406
flink-grammar.set-except-all	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	Parser-calcite-1.36.0.jj:3395 (QueryOrExpr/CompoundQuery)	3395-3406
flink-grammar.insert-into-select	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:2306-2379 (RichSqlInsert)	2306-2379
flink-grammar.insert-overwrite-partition	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:2306-2379 (RichSqlInsert)	2306-2379
flink-grammar.upsert-into-values	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:2306-2379 (RichSqlInsert UPSERT)	2306-2379
flink-grammar.insert-columns-on-conflict	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:2306-2379 (RichSqlInsert ON CONFLICT)	2306-2379
flink-grammar.insert-distributed	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	D-04 gate: Doris-only DISTRIBUTED ... BUCKETS (parser.mbt parse_distribution_clause)	009
flink-grammar.insert-incomplete	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	parserImpls.ftl:2306-2379 (RichSqlInsert column list)	2306-2379
