fixture_id	dialect	profile	exact_release	calcite_version	parser_config	source_archive_url	sha512	git_tag	git_commit	source_url	heading	retrieval_date	category	expected_status	fixture_sha256	grammar_path	line_range	mode
flink-grammar.alter-catalog	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	SqlAlterCatalog	2026-08-07	positive	valid	8a1e7f4f38c0d59755b5aafad535b41e71857563e5c979c0d93f8fde889378bb	Parser.tdd:659 (SqlAlterCatalog)	659	strict+editor
flink-grammar.alter-function	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	SqlAlterFunction AS class LANGUAGE	2026-08-07	positive	valid	fe6ef4f65ec4f0d94b9ae51cbc2c0e22173fda1e0dd58e69ec29ecd0d4b05c89	Parser.tdd:665 (SqlAlterFunction AS class LANGUAGE)	665	strict+editor
flink-grammar.alter-view-as	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	SqlAlterView AS query	2026-08-07	positive	valid	fbd2f545058632182dd46934510a4b7ceba2aca86ce186c20424519312e685d5	Parser.tdd:692 (SqlAlterView AS query)	692	strict+editor
flink-grammar.alter-view-rename	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	SqlAlterView RENAME TO	2026-08-07	positive	valid	27f2f0a87821e6c1013bcd61e153ed652fb8a8a393f82cff29f9aced660c01fc	Parser.tdd:692 (SqlAlterView RENAME TO)	692	strict+editor
flink-grammar.analyze-buckets	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	Doris-only ANALYZE BUCKETS	2026-08-07	negative	error	e9b3166c4c323c56bcd6b256ade3f8a62939d93b453cf944af2594f6a89e64a5	D-04 gate: Doris-only ANALYZE BUCKETS	009	strict+editor
flink-grammar.analyze-table	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	SqlAnalyzeTable	2026-08-07	positive	valid	29f8fdcc04b7ab0ad8065451e9e5d4e92da6e5de22ea7ced7b9f2b2254228ac3	parserImpls.ftl:3413-3443 (SqlAnalyzeTable)	3413-3443	strict+editor
flink-grammar.array-ctor	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	SqlCollectionTypeNameSpec	2026-08-07	positive	valid	1d4bed9e72404e49fd55aad648f08ce661ff0c1d4bcdbc949c2c54b2447cd749	Parser-calcite-1.36.0.jj (SqlCollectionTypeNameSpec)	8793-8795	strict+editor
flink-grammar.cast-map-type	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	dataTypeParserMethods SqlMapTypeName	2026-08-07	positive	valid	01342568f6502a8da37361cda401ad5cb1ac1e3080b5de3f4d5e8af718e49b02	Parser.tdd:759-765 (dataTypeParserMethods SqlMapTypeName)	759-765	strict+editor
flink-grammar.cast-timestamp-ltz	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	dataTypeParserMethods SqlTimestampLtzTypeName	2026-08-07	positive	valid	faa66cbf773a1e01593b9ccbf465b8ab2473a069a4628d5bb2d67495d2afc9aa	Parser.tdd:759-765 (dataTypeParserMethods SqlTimestampLtzTypeName)	759-765	strict+editor
flink-grammar.create-catalog	flink	flink-2.3.0	flink-2.3.0	1.36.0	Lex.JAVA,identifierMaxLength=256,conformance=FlinkSqlConformance.DEFAULT	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	b189214e5b8b45c3f76bb296550f5ae49f711541d70ce2054787571dcbd026bf539b3b90ac902917523a6e894619c0df93210315f64bd0d6244c8328eb5d1cbd	release-2.3.0	c0f8d1a1e09f209885a88f9c19ceb9d9e9870283	https://archive.apache.org/dist/flink/flink-2.3.0/flink-2.3.0-src.tgz	SqlCreateCatalog	2026-08-07	catalog-prerequisite	valid	3c909dee30cf344b99e56ebf3c8bdfc40165fef5f77c07b74b3050ba3e2ecca7	parserImpls.ftl:142-188 (SqlCreateCatalog)	142-188	strict+editor
